Func	Instruction				RS1	RS2	RD	RS1v	RS2v	RDv	Immediate
LUI--	10101010101101010101110010110111	01010	01011	11001	0	0	1	10101010101101010101000000000000
AUIPC	01000000100001001000010100010111	01001	01000	01010	0	0	1	01000000100001001000000000000000
JAL--	01000000100001001000010101101111	01001	01000	01010	0	0	1	00000000000001001000010000001000
JALR-	01000000100001001000010101100111	01001	01000	01010	1	0	1	00000000000000000000010000001000
BEQ--	01000000100001001000010101100011	01001	01000	01010	1	1	0	00000000000000000000010000001010
BNE--	01000000100001001001010101100011	01001	01000	01010	1	1	0	00000000000000000000010000001010
BLT--	01000000100001001100010101100011	01001	01000	01010	1	1	0	00000000000000000000010000001010
BGE--	01000000100001001101010101100011	01001	01000	01010	1	1	0	00000000000000000000010000001010
BLTU-	01000000100001001110010101100011	01001	01000	01010	1	1	0	00000000000000000000010000001010
BGEU-	01000000100001001111010101100011	01001	01000	01010	1	1	0	00000000000000000000010000001010
LB---	01011100110101100000011100000011	01100	01101	01110	1	0	1	00000000000000000000010111001101
LH---	01011100110101100001011100000011	01100	01101	01110	1	0	1	00000000000000000000010111001101
LW---	01011100110101100010011100000011	01100	01101	01110	1	0	1	00000000000000000000010111001101
LBU--	01011100110101100100011100000011	01100	01101	01110	1	0	1	00000000000000000000010111001101
LHU--	01011100110101100101011100000011	01100	01101	01110	1	0	1	00000000000000000000010111001101
SB---	01011010110001101000011110100011	01101	01100	01111	1	1	0	00000000000000000000010110101111
SH---	01011010110001101001011110100011	01101	01100	01111	1	1	0	00000000000000000000010110101111
SW---	01011010110001101010011110100011	01101	01100	01111	1	1	0	00000000000000000000010110101111
ADDI-	01011010111001101000011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
SLTI-	01011010111001101010011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
SLTIU	01011010111001101011011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
XORI-	01011010111001101100011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
ORI--	01011010111001101110011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
ANDI-	01011010111001101111011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
SLLI-	01011010111001101001011110010011	01101	01110	01111	1	0	1	00000000000000000000010110101110
SRLI-	00000000111001101101011110010011	01101	01110	01111	1	0	1	00000000000000000000000000001110
SRAI-	01000000111001101101011110010011	01101	01110	01111	1	0	1	00000000000000000000010000001110
ADDr-	00000000111001101000011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
SUBr-	01000000111001101000011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
SLLr-	01011010111001101001011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
SLTr-	01011010111001101010011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
SLTUr	01011010111001101011011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
XORr-	01011010111001101100011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
SRLr-	00000000111001101101011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
SRAr-	01000000111001101101011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
ORr--	01011010111001101110011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
ANDr-	01011010111001101111011110110011	01101	01110	01111	1	1	1	00000000000000000000000000000000
BAD--	01011010111001101111011111111111	01101	01110	01111	0	0	0	00000000000000000000000000000000
